_id,first_name,last_name,active,turned_pro,retired,country,country_yr,prev_country,prev_country_yr,dob,right_handed,backhand,cm,ft,coaches,preferred_surface,age_started,career_high,date,pm_USD,titles,win,loss,gladiator,headshot,ao_round,ao_years,rg_round,rg_years,w_round,w_years,uso_round,uso_years,finals_round,finals_years,olympics_round,olympics_years,wct_round,wct_years,gs_cup_round,gs_cup_years,davis_round,davis_years,hopman_round,hopman_years
ag37,Felix,Auger-Aliassime,true,2017,,CAN,,,,2000-08-08,true,2,193,6'4",[Frederic Fontang:Toni Nadal],[hard],5,6,2022-11-07,12217567,5,190,129,true,true,Quarterfinals,[2022],4th round,[2022],Quarterfinals,[2021],Semifinals,[2021],Round robin,[2022],1st round,[2020],,,,,Win,[2022],,
b0bi,Sebastian,Baez,true,2018,,ARG,,,,2000-12-28,true,2,170,5'7",[Sebastian Gutierrez],[hard],2,19,2024-03-04,3335887,6,77,65,true,true,3rd round,[2024],2nd round,[2022],2nd round,[2022],3rd round,[2023],,,,,,,,,,,,
b0jg,Leo,Borg,true,,,SWE,,,,2003-05-15,true,2,183,6'0",[Christian Brydniak:Rickard Billing],,,334,2023-09-11,93407,0,1,7,false,true,,,,,,,,,,,,,,,,,,,,
b0no,Darwin,Blanch,true,,,USA,,,,2007-09-28,,,,,,,,1034,2024-03-18,29585,0,0,1,false,false,,,,,,,,,,,,,,,,,,,,
b119,Jean-Claude,Barclay,false,,,FRA,,,,1942-12-30,true,,,,,,,218,1974-07-29,0,0,24,42,false,false,,,Quarterfinals,[1963],2nd round,[1961:1965:1970],1st round,[1965],,,,,,,,,,,,
b123,John,Bartlett,false,1968,1979,AUS,,,,1948-03-17,true,,188,6'2",,,,93,1973-10-15,0,0,44,106,false,false,2nd round,[1972:1974],2nd round,[1969],1st round,[1969:1970:1971:1972],1st round,[1974],,,,,,,,,,,,
b124,Gerald,Battrick,false,1964,1976,GBR,,,,1947-05-27,true,1,178,5'10",,,,,,0,4,195,202,false,false,3rd round,[1970],4th round,[1968],3rd round,[1971],2nd round,[1969:1971:1974:1976],,,,,,,,,,,,
b225,Ingo,Buding,false,1959,1970,FRG,,,,1942-01-09,true,1,,,,,,,,0,0,54,62,false,false,2nd round,[1962],Quarterfinals,[1965],3rd round,[1965],2nd round,[1966:1968],,,2nd round,[1968],,,,,,,,
b226,John,Barrett,false,1950,1971,GBR,,,,1931-04-17,false,,185,6'1",,,,,,90,0,17,22,false,false,2nd round,[1955],3rd round,[1955:1961],3rd round,[1953:1954:1955:1958],3rd round,[1953],,,,,,,,,,,,
b229,Patrice,Beust,false,,,FRA,,,,1944-09-3,true,,,,,,,308,1975-12-15,0,0,11,30,false,false,2nd round,[1975],3rd round,[1963],3rd round,[1966],2nd round,[1966],,,,,,,,,,,,
b231,Geoff,Bluett,false,1964,1969,GBR,,,,1941-05-20,true,,,,,,,,,0,0,6,7,false,false,,,,,2nd round,[1965:1968],,,,,,,,,,,,,,
b237,Wilhelm,Bungert,false,1957,1972,FRG,,,,1939-04-01,true,1,188,6'2",,,,144,1974-10-15,0,0,63,33,false,true,Quarterfinals,[1962],4th round,[1962],Final,[1967],4th round,[1966],,,,,,,Final,[1970],,,,
b245,Michael,Burgener,false,,,SUI,,,,1949-06-01,true,,,,,,,306,1975-03-05,,0,1,9,false,false,,,,,,,,,,,,,,,,,,,,
b350,Sergi,Bruguera,false,1988,2002,ESP,,,,1971-01-16,true,2,188,6'2",[Luis Bruguera:Paul Dorochenko],,,3,1994-08-01,11632199,14,447,271,false,true,4th round,[1993],Win,[1993:1994],4th round,[1994],4th round,[1994:1997],Semifinals,[1994],Silver,[1996],,,Quarterfinals,[1993:1994],,,,
b446,Jonas,Bjorkman,false,1991,2008,SWE,,,,1972-03-23,true,2,183,6'0",,,6,4,1997-11-03,14610671,6,414,362,false,true,Quarterfinals,[1998:2002],4th round,[1996:2007],Semifinals,[2006],Semifinals,[1997],Semifinals,[1997],1st round,[1996:2004:2008],,,Quarterfinals,[1997:1998],Win,[1994:1997:1998],Final,[1999]
b588,Bob,Bryan,false,1998,2020,USA,,,,1978-04-29,false,1,193,6'4",[David Macpherson:Dave Marshall],,2,116,2000-11-13,15931631,0,21,40,true,true,,,,,2nd round,[2001],2nd round,[1998],,,,,,,,,Win,[2007],,
b676,James,Blake,false,1999,2013,USA,,,,1979-12-28,true,1,185,6'1",[Brian Barker:Kelly Jones],[hard],5,4,2006-11-20,7981882,10,132,121,false,true,Quarterfinals,[2008],3rd round,[2006],3rd round,[2006:2007],Quarterfinals,[2005:2006],Finals,[2006],4th place,[2008],,,,,Win,[2007],Win,[2003:2004]
b678,Michael,Berrer,false,1999,2016,GER,,,,1980-07-01,false,1,193,6'4",[Kevin Sorensen],,,42,2010-05-24,2766701,0,88,145,false,true,2nd round,[2008:2009:2010:2014],3rd round,[2011],2nd round,[2007],2nd round,[2007],,,,,,,,,,,,
b747,Julien,Benneteau,false,2000,2018,FRA,,,,1981-12-20,true,2,185,6'1",[Antoine Benneteau],[clay],4,25,2014-11-17,9556742,0,273,297,true,true,3rd round,[2006:2012:2013:2018],Quarterfinals,[2006],4th round,[2010],3rd round,[2009:2011:2012:2013],,,2nd round,[2012],,,,,Win,[2017],,
b809,Mel,Baleson,false,1968,1970,RSA,,,,,,,,,,,,,,0,0,6,15,false,false,,,,,,,,,,,,,,,,,,,,
b837,Marcos,Baghdatis,false,2003,2019,CYP,,,,1985-06-17,true,2,178,5'10",[Pablo Perez:Juan Francisco Spina],[hard],5,8,2006-08-21,8918917,4,349,274,true,true,Final,[2006],4th round,[2007],Semifinals,[2006],4th round,[2016],,,3rd round,[2012],,,,,,,,
b884,Carlos,Berlocq,false,2001,2019,ARG,,,,1983-02-03,true,1,183,6'0",[Juan Martin Aranguren],[hard:clay],4,37,2012-03-19,4253764,2,134,193,true,true,2nd round,[2012:2013:2017],2nd round,[2007:2011:2014:2015:2016],1st round,[2006:2007:2008:2011:2012:2013:2014:2017],2nd round,[2011:2013],,,1st round,[2012],,,,,Win,[2016],,
b896,Benjamin,Becker,false,2005,2017,GER,,,,1981-06-16,true,2,178,5'10",[Andrei Pavel],[hard],7,35,2014-10-27,4399584,1,153,220,true,true,3rd round,[2015],3rd round,[2015],2nd round,[2006:2008:2009:2010:2012:2014:2016],4th round,[2006],,,,,,,,,,,,
ba47,Tomas,Berdych,false,2002,2019,CZE,,,,1985-09-17,true,2,196,6'5",[Martin Stepanek],[hard],5,4,2015-05-18,29491328,13,640,342,true,false,Semifinals,[2014:2015],Semifinals,[2010],Final,[2010],Semifinals,[2012],Semifinals,[2011],Quarterfinals,[2004],,,,,Win,[2012:2013],Win,[2012]
ba98,Simone,Bolelli,true,2003,,ITA,,,,1985-10-08,true,1,183,6'0",,[hard],7,36,2009-02-23,6454423,0,123,165,true,true,2nd round,[2008:2009:2015:2016],3rd round,[2008:2015],3rd round,[2008:2011:2014],2nd round,[2007:2014],,,1st round,[2008],,,,,Win,[2023],,
bc65,Matthias,Bachinger,false,2005,2023,GER,,,,1987-04-02,true,2,188,6'2",[Alexander Satschko],[hard],6,85,2011-08-15,1703120,0,31,55,false,true,2nd round,[2015],1st round,[2015],1st round,[2011:2012],2nd round,[2014],,,,,,,,,,,,
bc72,Daniel,Brands,false,2005,2019,GER,,,,1987-07-17,true,1,196,6'5",[Alexander Satschko],[clay:grass],5,51,2013-08-19,2181301,0,60,93,false,true,2nd round,[2013:2016],1st round,[2008:2009:2010:2011:2013:2014],4th round,[2010],2nd round,[2012],,,,,,,,,,,,
bd06,Roberto,Bautista Agut,true,2005,,ESP,,,,1988-04-14,true,2,183,6'0",[Jose Luis Vendrell Bru:Daniel Gimeno-Traver],[clay:hard],5,9,2019-11-04,17804189,11,395,251,true,true,Quarterfinals,[2019],4th round,[2016:2017],Semifinals,[2019],4th round,[2014:2015],Alternate,[2016:2019],Quarterfinals,[2016],,,,,,,,
bd20,Thomaz,Bellucci,false,2005,2023,BRA,,,,1987-12-30,false,2,188,6'2",[Thiago Alves:German Lopez],[clay],,21,2010-07-26,5384637,4,200,218,true,true,2nd round,[2010:2011:2012:2014:2016],4th round,[2010],3rd round,[2010],3rd round,[2015],,,Quarterfinals,[2016],,,,,,,,
bd59,Carsten,Ball,false,2005,2016,AUS,,,,1987-06-20,false,2,198,6'6",[Syd Ball],[hard],4,108,2010-07-26,671061,0,11,15,false,false,1st round,[2009:2010:2011],2nd round,[2010],1st round,[2010],2nd round,[2009:2010],,,,,,,,,,,,
be67,Mirza,Basic,true,2012,,BIH,,,,1991-07-12,true,2,188,6'2",[Damir Basic:Daniel Meyers],[hard],6,74,2018-02-19,1254981,1,32,41,true,true,2nd round,[2016],1st round,[2018],1st round,[2018],1st round,[2018],,,,,,,,,,,,
be90,Ricardas,Berankis,true,2007,,LTU,,,,1990-06-21,true,2,175,5'9",[Janko Tipsarevic:Dirk Hordoff],[hard],2,50,2016-05-23,4817444,0,135,153,true,true,3rd round,[2011:2013],3rd round,[2021],2nd round,[2010:2015:2019:2022],3rd round,[2020],,,1st round,[2016],,,,,,,,
bf23,Facundo,Bagnis,true,2008,,ARG,,,,1990-02-27,false,2,183,6'0",[Antonio Pastorino],[clay],7,55,2016-11-14,2948220,0,43,86,true,false,1st round,[2017:2022:2023],2nd round,[2014:2016:2021],1st round,[2015:2016:2017:2021:2022],3rd round,[2021],,,1st round,[2020],,,,,,,,
bf55,Yuki,Bhambri,true,2008,,IND,,,,1992-07-04,true,2,185,6'1",[Ankita Bhambri],[hard],5,83,2018-04-16,1288331,0,28,33,true,false,1st round,[2015:2016:2018],1st round,[2018],1st round,[2018],1st round,[2018],,,,,,,,,,,,
bg23,Nikoloz,Basilashvili,true,2008,,GEO,,,,1992-02-23,true,2,185,6'1",,[hard],5,16,2019-05-27,8751299,5,146,172,true,false,3rd round,[2018:2019],3rd round,[2017],3rd round,[2015:2022],4th round,[2018],,,3rd round,[2021],,,,,,,,
bh11,Edward,Beards,false,1965,1968,GBR,,,,,,,,,,,,,,0,0,0,1,false,false,,,,,,,,,,,,,,,,,,,,
bi23,Liam,Broady,true,2014,,GBR,,,,1994-01-04,false,2,183,6'0",[David Sammel],[grass],4,93,2023-09-25,1909712,0,21,32,true,false,1st round,[2022],1st round,[2020],3rd round,[2022:2023],,,,,,,,,,,,,,
bi81,Alex,Bolt,true,2011,,AUS,,,,1993-01-05,false,2,183,6'0",[Rohan Williams],[grass:hard],7,125,2019-03-04,1585533,0,15,29,true,true,3rd round,[2019],,,2nd round,[2021],,,,,,,,,,,,,,
bk19,Mathias,Bourgue,true,,,FRA,,,,1994-01-18,true,2,188,6'2",[Marc Gicquel],[clay],5,140,2017-04-24,848678,0,1,5,false,true,,,2nd round,[2016],,,,,,,,,,,,,,,,
bk40,Matteo,Berrettini,true,2015,,ITA,,,,1996-04-12,true,2,196,6'5",[Francisco Roig:Umberto Rianna:Vincenzo Santopadre],[hard],4,6,2022-01-31,11564965,7,156,86,true,true,Semifinals,[2022],Quarterfinals,[2021],Final,[2021],Semifinals,[2019],Round robin,[2019:2021],,,,,,,Semifinals,[2022],,
bk92,Alexander,Bublik,true,2016,,KAZ,2017,RUS,,1997-06-17,true,2,196,6'5",[Artem Suprunov],[hard],2,18,2024-03-18,6495032,4,141,131,true,true,2nd round,[2017:2021:2022],2nd round,[2019:2020:2022],4th round,[2023],3rd round,[2019],,,1st round,[2021],,,,,,,,
bl61,Filip,Bergevi,true,,,SWE,,,,1994-04-20,true,2,185,6'1",[Fred Johnsen],[hard],6,568,2019-10-21,98188,0,0,0,false,true,,,,,,,,,,,,,,,,,,,,
bm95,Benjamin,Bonzi,true,2015,,FRA,,,,1996-06-09,true,2,183,6'0",[Lionel Zimbler],,,42,2023-02-06,2659312,0,41,58,true,true,3rd round,[2023],2nd round,[2017:2020],2nd round,[2021:2022],3rd round,[2023],,,,,,,,,,,,
bo10,Gijs,Brouwer,true,2016,,NED,,,,1996-03-14,false,2,191,6'3",[Michiel Schapers],[hard],5,114,2023-02-27,674095,0,11,11,true,true,,,,,1st round,[2023],2nd round,[2022],,,,,,,,,,,,
bp74,Aleksandre,Bakshi,true,2019,,GEO,,,,1997-07-15,false,2,180,5'11",[Victor Bakshi],[hard],5,695,2023-02-06,87101,0,1,1,true,true,,,,,,,,,,,,,,,,,,,,
bs86,Tomas,Barrios Vera,true,2019,,CHI,,,,1997-12-10,true,2,191,6'3",[Guillermo Gomez],[clay],3,93,2024-01-15,867569,0,7,13,true,true,1st round,[2022],,,2nd round,[2023],,,,,,,,,,,,,,
bt72,Nuno,Borges,true,2019,,POR,,,,1997-02-19,true,2,185,6'1",[Rui Machado:Hugo Anao],[clay],7,46,2024-02-12,1525566,0,23,33,true,true,4th round,[2024],2nd round,[2023],1st round,[2022:2023],2nd round,[2022],,,,,,,,,,,,
bu54,Geoffrey,Blancaneaux,true,2016,,FRA,,,,1998-08-08,true,2,180,5'11",[Maximilien Blancaneaux],[clay],6,134,2022-11-14,754437,0,0,6,false,true,,,1st round,[2022],,,1st round,[2017],,,,,,,,,,,,
c009,Omar,Camporese,false,1987,1998,ITA,,,,1968-05-08,true,,188,6'2",,,,18,1992-02-10,1610475,2,150,157,false,false,4th round,[1992],3rd round,[1989:1991],3rd round,[1991],3rd round,[1992],,,2nd round,[1992],,,,,,,,
c031,Andrei,Chesnokov,false,1985,1999,RUS,,,,1966-02-02,true,,188,6'2",[Tatiana Naumko],,,9,1991-04-08,3084188,7,344,259,false,false,Quarterfinals,[1988],Semifinals,[1989],1st round,[1986:1988:1989:1992:1993:1995:1996],4th round,[1986:1987:1989],,,,,,,,,,,,
c044,Jimmy,Connors,false,1972,1996,USA,,,,1952-09-02,false,2,178,5'10",,,,1,1974-07-29,8641040,109,1274,283,true,true,Win,[1974],Semifinals,[1979:1980:1984:1985],Win,[1974:1982],Win,[1974:1976:1978:1982:1983],Win,[1977],,,Win,[1977:1980],1st round,[1991],Win,[1981],,
c080,Bob,Carmichael,false,1963,1979,AUS,,,,1940-07-04,true,1,183,6'0",,,,55,1975-04-08,414,1,208,253,false,false,Quarterfinals,[1973],4th round,[1968],Quarterfinals,[1970],4th round,[1971],,,,,,,,,,,,
c083,Jean-Baptiste,Chanfreau,false,1966,1979,FRA,,,,1947-01-17,true,,186,6'1",,,,80,1973-10-15,0,0,61,126,false,false,,,3rd round,[1971],3rd round,[1974],2nd round,[1973],,,,,,,,,,,,
c088,Patricio,Cornejo,false,1964,1983,CHI,,,,1944-06-06,true,1,180,5'11",,,,65,1974-09-03,0,0,159,220,false,false,,,Quarterfinals,[1974],2nd round,[1967],3rd round,[1972],,,,,,,,,Final,[1976],,
c090,Mark,Cox,false,1958,1981,GBR,,,,1943-07-05,false,1,,,,,,12,1977-10-03,0,14,423,277,false,true,Quarterfinals,[1967:1971],3rd round,[1968],4th round,[1968:1971:1979],Quarterfinals,[1966],,,,,Quarterfinals,[1975],,,Final,[1978],,
c093,Dick,Crealy,false,1963,1981,AUS,,,,1944-09-18,true,1,,,,,,33,1977-03-14,0,2,345,317,false,false,Final,[1970],4th round,[1970],3rd round,[1967:1969:1974],2nd round,[1969:1973:1978],,,,,,,,,,,,
c0au,Francisco,Cerundolo,true,2018,,ARG,,,,1998-08-13,true,2,185,6'1",[Kevin Konfederak],[clay],8,19,2023-06-19,4145046,2,73,66,true,true,3rd round,[2023],4th round,[2023],2nd round,[2023],2nd round,[2023],,,1st round,[2021],,,,,,,,
c0bc,Maxime,Cressy,true,2019,,USA,2019,FRA,,1997-05-08,true,2,201,6'7",[Alexandre Sidorenko:Juanjo Climent:Andrew Mawire],,,31,2022-08-08,2691744,1,42,56,true,true,4th round,[2022],1st round,[2022:2023],2nd round,[2022],2nd round,[2020:2021],,,,,,,,,,,,
c0c8,Juan Manuel,Cerundolo,true,2018,,ARG,,,,2001-11-15,false,2,183,6'0",[Juan Ignacio Chela:Alejandro Cerundolo:Mariano Hood],,,79,2022-01-31,927275,1,17,24,true,true,,,1st round,[2022],,,1st round,[2023],2nd round,[2023],,,,,,,,,,
c0e9,Flavio,Cobolli,true,2020,,ITA,,,,2002-05-06,true,2,183,6'0",[Stefano Cobolli],[clay],4,62,2024-03-04,1004213,0,13,17,true,true,3rd round,[2024],1st round,[2023],,,,,,,,,,,,,,,,
c169,John,Clifton,false,1966,1974,GBR,,,,1946-02-12,true,,,,,,,243,1974-06-03,0,0,16,36,false,false,,,1st round,[1971],2nd round,[1971],1st round,[1971],,,,,,,,,,,,
c170,Daniel,Contet,false,1961,1976,FRA,,,,1943-11-02,true,,,,,,,245,1974-06-03,0,0,17,32,false,false,,,3rd round,[1963],3rd round,[1967:1968],3rd round,[1966],,,,,,,,,,,,
c172,Peter,Curtis,false,1966,1975,GBR,,,,1945-08-29,true,,,,,,,235,1975-04-08,0,0,50,76,false,false,1st round,[1968],1st round,[1967],3rd round,[1966],4th round,[1968],,,,,,,,,Final,[1969],,
c175,Jean-Pierre,Courcol,false,1966,1971,FRA,,,,1944-03-18,true,,,,,,,,,0,0,16,18,false,false,,,2nd round,[1968:1969:1971],2nd round,[1969],2nd round,[1969],,,,,,,,,,,,
c176,Keith A,Carpenter,false,1960,1967,CAN,,,,1941-08-03,true,,188,6'2",,,,,,0,0,6,16,false,false,,,2nd round,[1964],2nd round,[1963:1964:1965:1966],4th round,[1965],,,,,,,,,,,,
c225,Eddie,Cruz,false,1968,1976,PHI,,,,,true,,,,,,,179,1974-07-29,0,0,10,22,false,false,,,,,,,,,,,,,,,,,,,,
c229,Ashley,Cooper,false,1953,1962,AUS,,,,1936-09-15,true,1,185,6'1",[Harry Hopman],,,278,1974-07-29,0,0,0,1,false,false,Win,[1957:1958],Semifinals,[1956:1957:1958],Win,[1958],Win,[1958],,,,,,,Win,[1957],,,,
c243,Jim,Courier,false,1988,2000,USA,,,,1970-08-17,true,2,185,6'1",[Nick Bollettieri:Sergio Cruz:Brad Stine:Jose Higueras:Harold Solomon],,,1,1992-02-10,14034132,23,506,237,true,true,Win,[1992:1993],Win,[1991:1992],Final,[1993],Final,[1991],Final,[1991:1992],3rd round,[1992],,,Quarterfinals,[1996],Win,[1992:1995],,
c252,Francisco,Clavet,false,1988,2003,ESP,,,,1968-10-24,false,2,183,6'0",,,,18,1992-07-13,4271881,8,388,240,false,true,3rd round,[1996:1998:2000:2002],4th round,[1991:1996:1998],4th round,[1998],3rd round,[1991:1995],,,,,,,,,Win,[2000],,
c274,Michael,Chang,false,1988,2003,USA,,,,1972-02-22,true,2,175,5'9",[Carl Chang],,,2,1996-09-09,19145632,34,662,312,false,true,Final,[1996],Win,[1989],Quarterfinals,[1994],Final,[1996],Final,[1995],2nd round,[1992],,,Final,[1991:1992],Win,[1990],,
c328,Kenneth,Carlsen,false,1992,2007,DEN,,,,1973-04-17,false,1,191,6'3",,,,41,1993-06-07,2990980,3,266,288,false,true,4th round,[1993],2nd round,[1993:1994],3rd round,[1993:1994:2004],3rd round,[1995],,,3rd round,[1996],,,,,,,,
c344,Alex,Corretja,false,1991,2005,ESP,,,,1974-04-11,true,1,180,5'11",[Enrique Perez],,,2,1999-02-01,10411354,17,438,281,false,true,3rd round,[1998],Final,[1998:2001],2nd round,[1994:1996],Quarterfinals,[1996],Win,[1998],3rd round,[2000],,,1st round,[1996],Win,[2000],,
c478,Agustin,Calleri,false,1995,2010,ARG,,,,1976-09-14,true,1,183,6'0",,[clay],4,16,2003-07-07,3753387,2,209,187,false,true,2nd round,[2001:2004:2005:2008],3rd round,[2000],2nd round,[2003:2006:2007:2008],3rd round,[2000:2007],,,2nd round,[2004:2008],,,,,,,,
c487,Arnaud,Clement,false,1996,2012,FRA,,,,1977-12-17,true,2,173,5'8",[Bruno Clement],,,10,2001-04-02,7125228,4,316,327,false,true,Final,[2001],4th round,[2003],Quarterfinals,[2008],Quarterfinals,[2000],,,2nd round,[2004:2008],,,,,Win,[2001],,
c514,Juan Ignacio,Chela,false,1998,2012,ARG,,,,1979-08-30,true,2,191,6'3",[Pablo Fuente],[clay],6,15,2004-08-09,6572494,6,326,277,false,true,4th round,[2006],Quarterfinals,[2004:2011],2nd round,[2003:2004:2007:2011],Quarterfinals,[2007],Alternate,[2007],2nd round,[2000],,,,,,,,
c582,Marco,Chiudinelli,false,2000,2017,SUI,,,,1981-09-10,true,2,185,6'1",[Jan Vacek],,,52,2010-02-22,2023620,0,52,98,false,true,2nd round,[2010],2nd round,[2010],1st round,[2010],3rd round,[2006:2009],,,,,,,,,Win,[2014],,
c705,Eugene,Cantin,false,1965,1969,USA,,,,1944-12-13,,,191,6'3",,,,,,0,0,1,2,false,false,,,,,,,,,,,,,,,,,,,,
c709,Yves,Christiaen,false,,,FRA,,,,,,,,,,,,,,0,0,0,1,false,false,,,2nd round,[1968],,,,,,,,,,,,,,,,
c882,Pablo,Cuevas,true,2004,,URU,,,,1986-01-01,true,1,180,5'11",[Facundo Savio],,6,19,2016-08-15,9717624,6,242,224,true,true,2nd round,[2016:2018:2019:2021],3rd round,[2015:2016:2017:2019],2nd round,[2009:2019],2nd round,[2009:2010:2015:2016:2019],,,2nd round,[2016],,,,,,,,
